occupation_item_id	count	text_data	context	class_type
66314404	21	jazz singer	singer that sings jazz	occupation
19826506	6	hip hop producer	instrumentalist in the hip hop genre	occupation
30157837	41	operetta singer		occupation
126552	7	business informatics	science that deals with development and application of information and communication systems in business enterprises	occupation
70631379	129		profession that deals with development and application of information and communication systems in business enterprises	occupation
947305	159	skald	a poet in the courts of Scandinavian leaders during the Viking Age	occupation
11957145	108	acrobat	performer of acrobatics	occupation
2234405	7	adjudicator	someone who presides, judges and arbitrates during a formal dispute	occupation
1227195	68	postgraduate business degree holder	academic title	occupation
28146366	90	nun	christian religious occupation	occupation
62019945	1			occupation
66172428	25	State lawyer	occupation in Spain	occupation
56224063	15	bookkeeper	profession; person who records the accounts or transactions of a business	occupation
2854916	146	otolaryngologist	physician specialized in otorhinolaryngology	occupation
31090213	32			occupation
58363586	14	narrator	character or non-personal voice that tells the story to the audience	occupation
18431816	228	glass painter	painter whose field of work is glass painting	occupation
1396008	34	matron	senior nurse in a hospital	occupation
64503601	14			occupation
5172532	1	Corporation counsel		occupation
1553390	1	United States Department of Justice	U.S. federal executive department	occupation
30094763	1	Board of Finance	Wikimedia disambiguation page	occupation
23835475	54	helper	person who or thing that helps	occupation
24056480	38	porcelain painter	painter on ceramics	occupation
16003594	24	socialist	supporters of socialism	occupation
1718016	9			occupation
703534	1733	employee	person who works for an employer	occupation
26326102	26	Swiss wrestler	sportsperson praticing Swiss wrestling (Schwingen)	occupation
390479	11	master of novices	governor and trainer of the novitiate of a Roman Catholic religious institute	occupation
3486937	52	medic	umbrella term for a person involved in medicine	occupation
1495811	54	organ expert	expert about musical organs	occupation
1531917	2		profession	occupation
1554167	26	music pedagogy	the study of the methods and principles of music instruction	occupation
592996	89	Amtmann	historical profession	occupation
2378505	115	promoter	individual or company that promotes live entertainment events	occupation
4330518	8	research object	something that undergoes testing or observation in a scientific experiment	occupation
1726887	9			occupation
1928633	1	Kammersänger	honorific title for distinguished singers of opera and classical music in German-speaking countries awarded by the government, historically a singer employed by royalty or in a private home	occupation
34341043	1	Consultant input in acute medical admissions and patient outcomes in hospitals in England: a multivariate analysis	scientific article	occupation
1433970	1	Keeper of the Seals of France	position	occupation
6017508	3	independent insurance agent	people who sell a variety of insurance and financial products	occupation
21281706	542	academic administrator	profession	occupation
244741	12	viceroy	representative of a monarch	occupation
20888501	124	soil scientist	earth scientist that studies soil	occupation
1191329	14	piano tuner	profession	occupation
21061372	25	circus director	one who runs a circus	occupation
352507	59	administrator intercalaris	profession	occupation
2205972	293	stained-glass artist	artist active in (flat, window) glass	occupation
15986551	3	chess journalist		occupation
267640	41	independent scholar	scholar not associated with university	occupation
45916489	11	environmental consultant	occupation	occupation
38370550	27	military patrol (sport) runner		occupation
12246069	54	telecommunications engineer		occupation
1343573	4	member of state parliament	representative of the voters to a state or provincial parliament	occupation
3303297	159	ironmaster	manager/owner of a forge or blast furnace	occupation
26409	25	centurion	professional officer of the Roman army	occupation
755070	136	storyteller	the profession of telling stories to an audience	occupation
2089763	36	Crusader	Christian participant in the Crusades	occupation
15618890	78	ventriloquist	performer of ventriloquism	occupation
66588252	1		person that teached house economics	occupation
931732	32	Posek	Jewish religious leader	occupation
16825962	72	primatologist	profession	occupation
58968	224	intellectual	people who primarily use intelligence in either a professional or an individual capacity	occupation
22662561	18	game show host	host of a television or radio game show	occupation
20726593	108	helicopter pilot		occupation
29178068	1	Science Teacher	character from 1998 film 'Brink!'	occupation
15978192	13	racial hygienist		occupation
2555173	1	Loyalism	ideology where an individual maintains allegiance toward an established government, political party, or sovereign, especially during times of war and revolt	occupation
5434338	42	fantasy author		occupation
47541952	70	producer	media and entertainment occupation	occupation
215144	31	bard	professional poet in medieval Gaelic and British culture	occupation
123695	1	High Commissioner	position; the senior diplomat in charge of the diplomatic mission of one Commonwealth government to another	occupation
1251687	13	head of mission	top diplomatic representative to another place	occupation
902180	2	trickster	literary archetype	occupation
1326956	9		profession	occupation
1708541	4			occupation
21771805	83	winemaker	person engaged in winemaking	occupation
1749303	21	runemaster	specialist in making runestones	occupation
5770349	122	plastic surgeon		occupation
18535215	27			occupation
10355417	270	advertising person	person concerned with the creation of advertisments	occupation
51085009	135	scenic designer		occupation
2141898	6	Reisender	German term: subclass of an employee in the sales force	occupation
12341515	1	singing cowboy		occupation
206082	25	state-certified engineers specializing in building construction	profession	occupation
